idx,u_proj,v_proj,inlier
1,1005.0630682291375,604.641199920116,0
2,1190.066486982002,611.8828101738577,0
3,1374.9032451013886,619.3997253033039,0
4,1565.053957164821,627.4717811469401,0
5,1751.3331415675489,635.7049220169708,0
6,1943.5478092205212,644.4751669333951,0
7,2137.1516214690687,653.4843318938447,0
8,2332.376838947862,662.6288651288439,0
9,2520.30335629569,671.4220835993993,0
10,992.7225299645427,788.9238937380195,0
11,1178.323275145056,796.6961321067413,0
12,1365.5055720439436,804.7784546005456,0
13,1555.9205763505752,813.2835608963069,0
14,1743.662376597938,821.9444144552725,0
15,1937.9684656544707,831.1527416501094,0
16,2132.272564510471,840.5350672231981,0
17,2327.577789819858,850.0542585520957,0
18,2515.7978787665693,859.253683908499,0
19,980.6935953297841,968.874010597716,1
20,1166.7887012147296,977.8464295603943,1
21,1356.163040947514,987.1523276724256,1
22,1546.7278755684772,996.7091351730484,1
23,1735.821399660391,1006.3817722609648,0
24,1932.1407426252767,1016.6065296434597,0
25,2127.129573753198,1026.9151017095264,0
26,2322.5414812463982,1037.3621878977247,0
27,2511.085742797296,1047.5255050528099,0
28,968.2296880437433,1156.4509688972482,1
29,1154.8436506133214,1165.5847829421714,1
30,1346.4470053275215,1175.0514973869288,1
31,1537.116187559709,1184.553837572764,1
32,1727.5501494272091,1194.1278773320741,1
33,1925.8988074109907,1204.2007823463566,1
34,2121.610867625606,1214.2608990795827,1
35,2317.2110771469174,1224.457855194366,0
36,2506.1763246345718,1234.4594083535594,0
37,955.480138114645,1349.5968199410647,1
38,1142.5278985810153,1359.3594156646827,0
39,1336.2985865641838,1369.4781436821781,1
40,1526.9336276630884,1379.4093955035685,1
41,1718.6351164179234,1389.377755165502,1
42,1919.0146784473427,1399.8208972738407,1
43,2115.463531193981,1410.1544869293318,1
44,2311.299019137573,1420.629437885523,0
45,2500.7677250701036,1430.9805699240685,0
46,942.996420389127,1539.2506996612146,1
47,1130.408662063702,1549.7778322950253,0
48,1326.2140369843517,1560.727563272004,1
49,1516.7110141378123,1571.2864349422237,0
50,1709.569999467115,1581.890551684746,0
51,1911.8983452701405,1592.9929694436632,0
52,2109.0729441307262,1603.9040667791996,0
53,2305.1808295840715,1614.9642865766791,0
54,2495.1934429773096,1625.9421558330407,0
